food_item,weather,day_time,price
Paratha & Egg,Sunny,Breakfast,85
French Toast,Sunny,Breakfast,108
Pancakes,Sunny,Breakfast,137
Waffles,Sunny,Breakfast,152
Omelette,Sunny,Breakfast,92
Scrambled Eggs,Sunny,Breakfast,89
Boiled Egg Set,Sunny,Breakfast,73
Porridge,Sunny,Breakfast,81
Fruit Bowl,Sunny,Breakfast,117
Yogurt Parfait,Sunny,Breakfast,130
Toast & Jam,Sunny,Lunch,65
Butter Toast,Sunny,Breakfast,49
Croissant,Sunny,Breakfast,95
Breakfast Burrito,Sunny,Breakfast,159
Hash Browns,Sunny,Breakfast,80
Samosa,Sunny,Breakfast,20
Singara,Sunny,Breakfast,15
Vegetable Roll,Sunny,Breakfast,37
Chicken Sandwich,Sunny,Lunch,150
Club Sandwich,Sunny,Lunch,156
Grilled Cheese Sandwich,Sunny,Lunch,126
Chicken Burger,Sunny,Lunch,161
Beef Burger,Sunny,Lunch,189
Veg Burger,Sunny,Dinner,146
Chicken Shawarma,Sunny,Dinner,175
Beef Shawarma,Sunny,Lunch,182
Chicken Wrap,Sunny,Lunch,155
Caesar Salad,Sunny,Lunch,171
Greek Salad,Sunny,Lunch,184
Chicken Caesar Salad,Sunny,Lunch,214
Fried Rice,Sunny,Lunch,179
Chicken Fried Rice,Sunny,Lunch,220
Egg Fried Rice,Sunny,Lunch,176
Vegetable Fried Rice,Sunny,Lunch,168
Noodles,Sunny,Lunch,162
Chicken Noodles,Sunny,Lunch,194
Vegetable Noodles,Sunny,Lunch,158
Pasta Alfredo,Sunny,Lunch,229
Spicy Pasta,Sunny,Lunch,214
Mac & Cheese,Sunny,Lunch,211
Chicken Pizza,Sunny,Dinner,268
Beef Pizza,Sunny,Dinner,296
Veg Pizza,Sunny,Dinner,236
Margherita Pizza,Sunny,Dinner,249
BBQ Chicken Pizza,Sunny,Dinner,304
Beef Biryani,Sunny,Dinner,234
Chicken Biryani,Sunny,Dinner,206
Kacchi Biryani,Sunny,Dinner,289
Tehari,Sunny,Dinner,180
Khichuri,Sunny,Dinner,152
Mutton Curry,Sunny,Dinner,265
Chicken Curry,Sunny,Dinner,200
Beef Curry,Sunny,Dinner,221
Fish Curry,Sunny,Dinner,193
Dal,Sunny,Dinner,98
Mixed Vegetables,Sunny,Dinner,114
Butter Naan,Sunny,Dinner,41
Garlic Naan,Sunny,Dinner,54
Chapati,Sunny,Dinner,26
Grilled Chicken,Sunny,Dinner,251
Tandoori Chicken,Sunny,Dinner,266
Chicken Wings,Sunny,Dinner,235
